players
Xavier Bartlett
Dilshan Madushanka
Adam Milne
Lungi Ngidi
Will O’Rourke
Chetan Sakariya
Sandeep Warrier
Musaif Ajaz
Agni Chopra
Abhimanyu Easwaran
Sudip Kumar Gharami
Shubham Khajuria
Akhil Rawat
Prateek Yadav
Abdul Basith
KC Cariappa
Yuvraj Chaudhary
Aman Khan
Sumit Kumar
Kamlesh Nagarkoti
Hardik Raj
Harsh Tyagi
M Ajnas
Unmukt Chand
Tejasvi Dahiya
Sumit Ghadigaonkar
Baba Indrajith
Muhammed Adnan Khan
Bhagmender Lather
Baltej Singh
Ali Khan
Ravi Kumar
Vineet Panwar
Vidyadhar Patil
Aaradhya Shukla
Abhinandan Singh
Cooper Connolly
Dushan Hemantha
Jason Holder
Karim Janat
James Neesham
Daniel Sams
Will Sutherland
Taskin Ahmed
Ben Dwarshuis
Obed McCoy
Riley Meredith
Lance Morris
Olly Stone
Daniel Worrall
Pyla Avinash
Kiran Chormale
Ashish Dahariya
Tushar Raheja
Sarthak Ranjan
Abhijeet Tomar
Krish Bhagat
Sohraab Dhaliwal
Harsh Dubey
Ramakrishna Ghosh
Raj Limbani
Ninad Rathva
Vivrant Sharma
Shiva Singh
Sayed Irfan Aftab
Anirudh Chowdhary
Siddarth Kaul
Prashant Painkra
Satyanarayana Raju
Yeddala Reddy
Zakary Foulkes
Chris Green
Shakib Al Hasan
Mehidy Hasan Miraz
Wiaan Mulder
Dwaine Pretorius
Dasun Shanaka
Shoriful Islam
Blessing Muzarabani
Matthew Potts
Tanzim Hasan Sakib
Ben Sears
Tim Southee
John Turner
Joshua Brown
Oliver Davies
Bevon Jacobs
Atharva Kale
Abhishek Nair
Vishwanath Pratap Singh
Lone Nasir
Brandon McMullen
Sudhesan Midhun
Abid Mushtaq
Mahesh Pithiya
Maramreddy Reddy
Atit Sheth
Jonty Sidhu
Mohit Avasthi
Faridoon Dawoodzai
Praful Hinge
Pankaj Jaswal
Vijay Kumar
Ashok Sharma
Mujtaba Yousuf
Ashton Agar
Roston Chase
Junior Dala
Mahedi Hasan
Nangeyalia Kharote
Dan Lawrence
Nathan Smith
James Anderson
Kyle Jamieson
Chris Jordan
Hasan Mahmud
Tymal Mills
David Payne
Nahid Rana
Prayas Ray Barman
Jafar Jamal
Ayaz Khan
Kaushik Maity
Rituraj Sharma
Vaibhav Suryavanshi
Kartik Chadha
Writtick Chatterjee
Prerit Dutta
Rajneesh Gurbani
Shubhang Hegde
Saransh Jain
Ripal Patel
Akash Vasisht
Anirudh Kanwar
Shubham Kapse
Atif Mushtaq
Dipesh Parwani
Manish Reddy
Chetan Sharma
Avinash Singh
Alick Athanaze
Hilton Cartwright
Dominic Drakes
Daryn Dupavillon
Matthew Forde
Patrick Kruger
Lahiru Kumara
Michael Neser
Richard Ngarava
Wayne Parnell
Keemo Paul
Odean Smith
Andrew Tye
Ajay Ahlawat
Corbin Bosch
Mayank Gusain
Mukhtar Hussain
Girinath Reddy
Jalaj Saxena
Yajas Sharma
Sanjay Yadav
Vishal Godara
Eshan Malinga
Samarth Nagaraj
Abhishek Saini
Dumindu Sewmina
Pradyuman Singh
Vasu Vats
Umang Kumar
Mohamed Ali
Atharva Ankolekar
Vaisakh Chandran
Auqib Nabi
Rohit Rayudu
Uday Saharan
Ayush Vartak
Baba Aparajith
Sumit Beniwal
Nishunk Birla
Digvijay Deshmukh
Lakshay Jain
Duan Jansen
Kritagya Singh
P Vignesh
Sabhay Chadha
Benny Howell
Hemanth Kumar
Rohan Rana
Bharat Sharma
Pratham Singh
Tripurana Vijay
Ravi Kumar Yadav
Arjun Azad
Abhay Choudhary
Gaurav Gambhir
Shubham Garhwal
Tejasvi Jaiswal
Sairaj Patil
Madhav Tiwari
Kamal Tripathi
Prashant Chauhan
Yash Dabas
Dhruv Kaushik
Khrievitso Kense
Akash Parkar
Vignesh Puthur
Tripuresh Singh
Vijay Yadav
Jofra Archer
Saurabh Netravalkar
Hardik Tamore
Daryl Mitchell
Digvesh Singh
Rasikh Dar
V Satyanarayana Penmetsa
