POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
100,Kuldeep YadavDC,5,3,1,0,5,5.00,5,100.00,0,0,1,0
101,Krunal PandyaRCB,5,4,2,0,5,2.50,8,62.50,0,0,1,0
102,Moeen AliKKR,5,2,1,0,5,5.00,12,41.66,0,0,0,0
103,Lockie FergusonPBKS,4,3,1,1,4*,-,1,400.00,0,0,1,0
104,Simarjeet SinghSRH,3,4,3,1,3*,1.50,7,42.85,0,0,0,0
105,Avesh KhanLSG,2,4,2,2,2*,-,1,200.00,0,0,0,0
106,Trent BoultMI,2,5,2,1,1*,2.00,3,66.66,0,0,0,0
107,Suryansh ShedgePBKS,2,3,1,0,2,2.00,4,50.00,0,0,0,0
108,Spencer JohnsonKKR,2,4,2,2,1*,-,4,50.00,0,0,0,0
109,Mitchell StarcDC,2,3,1,0,2,2.00,5,40.00,0,0,0,0
110,V Satyanarayana PenmetsaMI,1,2,1,1,1*,-,1,100.00,0,0,0,0
111,Kumar Kartikeya SinghRR,1,2,1,0,1,1.00,1,100.00,0,0,0,0
112,Sai KishoreGT,1,5,1,0,1,1.00,1,100.00,0,0,0,0
113,Mohd Arshad KhanGT,1,3,2,2,1*,-,1,100.00,0,0,0,0
114,Mohit SharmaDC,1,3,1,1,1*,-,2,50.00,0,0,0,0
115,Bhuvneshwar KumarRCB,1,3,2,2,1*,-,4,25.00,0,0,0,0
116,Arshdeep SinghPBKS,1,4,1,0,1,1.00,5,20.00,0,0,0,0
